 ,h1,h2,h3,h4,h5,h6,h7
h1,-,win%1st 70.0 win%2nd 80.0,win%1st 50.0 win%2nd 90.0,win%1st 40.0 win%2nd 90.0,win%1st 70.0 win%2nd 60.0,win%1st 60.0 win%2nd 30.0,win%1st 10.0 win%2nd 80.0,

h2,win%1st 20.0 win%2nd 30.0,-,win%1st 100.0 win%2nd 10.0,win%1st 90.0 win%2nd 60.0,win%1st 80.0 win%2nd 30.0,win%1st 70.0 win%2nd 40.0,win%1st 80.0 win%2nd 30.0,

h3,win%1st 10.0 win%2nd 40.0,win%1st 90.0 win%2nd 0.0,-,win%1st 70.0 win%2nd 50.0,win%1st 70.0 win%2nd 40.0,win%1st 90.0 win%2nd 40.0,win%1st 80.0 win%2nd 60.0,

h4,win%1st 10.0 win%2nd 50.0,win%1st 40.0 win%2nd 0.0,win%1st 40.0 win%2nd 20.0,-,win%1st 70.0 win%2nd 30.0,win%1st 80.0 win%2nd 30.0,win%1st 50.0 win%2nd 70.0,

h5,win%1st 40.0 win%2nd 30.0,win%1st 60.0 win%2nd 10.0,win%1st 60.0 win%2nd 20.0,win%1st 70.0 win%2nd 30.0,-,win%1st 80.0 win%2nd 20.0,win%1st 50.0 win%2nd 30.0,

h6,win%1st 70.0 win%2nd 40.0,win%1st 60.0 win%2nd 10.0,win%1st 60.0 win%2nd 10.0,win%1st 70.0 win%2nd 0.0,win%1st 80.0 win%2nd 20.0,-,win%1st 60.0 win%2nd 30.0,

h7,win%1st 10.0 win%2nd 50.0,win%1st 50.0 win%2nd 0.0,win%1st 40.0 win%2nd 10.0,win%1st 20.0 win%2nd 50.0,win%1st 60.0 win%2nd 50.0,win%1st 60.0 win%2nd 30.0,-,

